4096
705	1 13	1 15	1 51	1 53
706	1 13	1 15	1 53	1 55
707	1 13	1 15	1 55	1 57
708	1 13	1 15	1 54	1 56
709	1 13	1 15	1 58	1 60
710	1 13	1 15	1 60	1 62
711	1 13	1 15	1 62	1 64
712	1 13	1 15	1 64	1 66
713	1 13	1 15	1 66	1 68
714	1 13	1 15	1 68	1 70
715	1 13	1 15	1 70	1 72
716	1 13	1 15	1 57	1 59
717	1 13	1 15	1 59	1 61
718	1 13	1 15	1 61	1 63
719	1 13	1 15	1 63	1 65
720	1 13	1 15	1 65	1 67
721	1 13	1 15	1 67	1 69
722	1 13	1 15	1 1	1 3
723	1 14	1 16	1 17	1 19
724	1 14	1 16	1 19	1 21
725	1 14	1 16	1 25	1 27
726	1 14	1 16	1 27	1 29
727	1 14	1 16	1 22	1 24
728	1 14	1 16	1 26	1 28
729	1 14	1 16	1 28	1 30
730	1 14	1 16	1 30	1 32
731	1 14	1 16	1 32	1 34
732	1 14	1 16	1 34	1 36
733	1 14	1 16	1 36	1 38
734	1 14	1 16	1 35	1 37
735	1 14	1 16	1 37	1 39
736	1 14	1 16	1 39	1 41
737	1 14	1 16	1 41	1 43
738	1 14	1 16	1 43	1 45
739	1 14	1 16	1 45	1 47
740	1 14	1 16	1 49	1 51
741	1 14	1 16	1 51	1 53
742	1 14	1 16	1 53	1 55
743	1 14	1 16	1 38	1 40
744	1 14	1 16	1 40	1 42
745	1 14	1 16	1 42	1 44
746	1 14	1 16	1 44	1 46
747	1 14	1 16	1 46	1 48
748	1 14	1 16	1 48	1 50
749	1 14	1 16	1 52	1 54
750	1 14	1 16	1 54	1 56
751	1 14	1 16	1 56	1 58
752	1 14	1 16	1 55	1 57
753	1 14	1 16	1 57	1 59
754	1 14	1 16	1 63	1 65
755	1 14	1 16	1 65	1 67
756	1 14	1 16	1 67	1 69
757	1 14	1 16	1 69	1 71
758	1 14	1 16	1 71	1 1
759	1 14	1 16	1 1	1 3
760	1 14	1 16	1 62	1 64
761	1 14	1 16	1 64	1 66
762	1 14	1 16	1 66	1 68
763	1 14	1 16	1 2	1 4
764	1 14	1 16	1 4	1 6
765	1 15	1 17	1 16	1 18
766	1 15	1 17	1 18	1 20
767	1 15	1 17	1 20	1 22
768	1 15	1 17	1 24	1 26
769	1 15	1 17	1 26	1 28
770	1 15	1 17	1 28	1 30
771	1 15	1 17	1 30	1 32
772	1 15	1 17	1 32	1 34
773	1 15	1 17	1 34	1 36
774	1 15	1 17	1 19	1 21
775	1 15	1 17	1 21	1 23
776	1 15	1 17	1 23	1 25
