,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,55.00,46.00,7618.96,0.66,0.00,-237.64,-256.261,7.825
,Mixed / non conventional,72.00,65.00,46.00,47.00,-77729.75,0.28,0.00,263.39,-137.011,7.993
,Mixed / non conventional,72.00,65.00,47.00,56.00,7162.90,0.29,0.00,-21.76,301.223,7.993
,Mixed / non conventional,72.00,65.00,56.00,48.00,10355.75,1.19,0.00,-179.22,-404.300,7.799
,Mixed / non conventional,72.00,65.00,48.00,39.00,29250.58,1.19,0.00,180.82,-326.693,7.799
,Mixed / non conventional,72.00,65.00,39.00,32.00,86307.25,0.25,0.00,-27.28,-307.052,7.828
,Mixed / non conventional,72.00,65.00,32.00,23.00,175054.17,0.25,0.00,47.86,-414.756,7.828
,Mixed / non conventional,72.00,65.00,51.00,52.00,-104191.51,0.07,0.00,-114.05,-406.658,7.876
,Mixed / non conventional,72.00,65.00,52.00,44.00,36129.20,0.08,0.00,43.94,-680.175,7.876
,Mixed / non conventional,72.00,65.00,44.00,35.00,54185.05,0.61,0.00,80.36,-382.671,7.926
,Mixed / non conventional,72.00,65.00,35.00,27.00,222090.03,0.62,0.00,22.82,-619.923,7.926
,Mixed / non conventional,72.00,65.00,27.00,18.00,202951.67,1.03,0.00,-345.05,-338.774,7.853
,Mixed / non conventional,72.00,65.00,18.00,11.00,1225805.38,1.02,0.00,210.44,-969.842,7.853
,Mixed / non conventional,72.00,65.00,11.00,4.00,5134809.00,0.72,0.00,-75.55,-2820.807,7.889
,Mixed / non conventional,72.00,65.00,70.00,69.00,1629.22,2.08,0.00,-110.25,441.579,7.860
,Mixed / non conventional,72.00,65.00,59.00,60.00,-22413.14,0.84,0.00,-277.42,-757.588,7.888
,Mixed / non conventional,72.00,65.00,60.00,52.00,5830.98,0.83,0.00,162.49,-656.978,7.888
,Mixed / non conventional,72.00,65.00,52.00,43.00,20587.91,0.15,0.00,115.69,-410.010,7.845
,Mixed / non conventional,72.00,65.00,43.00,35.00,112080.91,0.15,0.00,9.61,-652.852,7.845
,Mixed / non conventional,72.00,65.00,35.00,26.00,135638.88,0.12,0.00,1.31,-409.666,7.893
,Mixed / non conventional,72.00,65.00,26.00,19.00,636617.88,0.13,0.00,-182.35,-824.221,7.893
,Mixed / non conventional,72.00,65.00,19.00,12.00,1621079.13,0.50,0.00,171.03,-1357.005,7.851
,Mixed / non conventional,72.00,65.00,12.00,3.00,152139.72,0.47,0.00,-256.41,-107.402,7.851
,Mixed / non conventional,72.00,65.00,61.00,62.00,-4035.64,0.58,0.00,-19.64,-372.998,7.822
,Mixed / non conventional,72.00,65.00,62.00,63.00,-1161.14,0.57,0.00,65.56,-224.860,7.822
,Mixed / non conventional,72.00,65.00,63.00,54.00,464.45,0.48,0.00,-172.62,-205.831,7.876
