,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,24.00,23.00,930739.63,0.06,0.00,123.29,-26.961,1.170
,Mixed / non conventional,72.00,65.00,23.00,16.00,142511.36,0.29,0.00,-19.96,-22.505,1.167
,Mixed / non conventional,72.00,65.00,16.00,7.00,859741.94,0.27,0.00,27.09,-110.847,1.167
,Mixed / non conventional,72.00,65.00,59.00,58.00,-56729.16,0.25,0.00,-407.39,50.669,0.306
,Mixed / non conventional,72.00,65.00,58.00,57.00,-76501.85,0.26,0.00,-26.66,48.855,0.306
,Mixed / non conventional,72.00,65.00,57.00,49.00,47600.47,0.74,0.00,6.32,-47.022,0.158
,Mixed / non conventional,72.00,65.00,61.00,60.00,-11762.20,0.34,0.00,-27.73,50.030,0.630
,Mixed / non conventional,72.00,65.00,63.00,56.00,902.70,0.23,0.00,-127.66,-57.326,1.173
,Mixed / non conventional,72.00,65.00,56.00,55.00,-6346.58,0.24,0.00,37.08,8.806,1.173
,Mixed / non conventional,72.00,65.00,55.00,54.00,-35956.82,0.34,0.00,-212.90,38.855,1.166
,Mixed / non conventional,72.00,65.00,54.00,53.00,-60574.49,0.33,0.00,21.98,52.292,1.166
,Mixed / non conventional,72.00,65.00,53.00,45.00,24696.56,0.44,0.00,78.39,-50.399,0.723
,Mixed / non conventional,72.00,65.00,45.00,37.00,84518.34,0.44,0.00,-68.06,-56.590,0.723
,Mixed / non conventional,72.00,65.00,37.00,29.00,212790.25,0.89,0.00,59.80,-49.919,0.562
,Mixed / non conventional,72.00,65.00,29.00,21.00,445969.44,0.89,0.00,-79.88,-55.986,0.562
,Mixed / non conventional,72.00,65.00,68.00,67.00,4759.16,0.09,0.00,109.10,48.631,0.296
,Mixed / non conventional,72.00,65.00,67.00,66.00,2961.40,0.08,0.00,-293.19,74.488,0.296
,Mixed / non conventional,72.00,65.00,66.00,58.00,1624.95,0.21,0.00,-24.17,-48.135,0.244
,Mixed / non conventional,72.00,65.00,58.00,50.00,25632.28,0.20,0.00,33.39,-50.044,0.244
,Mixed / non conventional,72.00,65.00,50.00,42.00,87791.58,0.53,0.00,115.57,-95.399,0.617
,Mixed / non conventional,72.00,65.00,42.00,33.00,112158.59,0.54,0.00,-109.71,-49.952,0.617
,Mixed / non conventional,72.00,65.00,70.00,63.00,-802.65,0.27,0.00,29.18,-49.804,0.566
,Mixed / non conventional,72.00,65.00,4.00,5.00,-1813720.50,0.29,0.00,-36.57,-18.089,1.166
,Mixed / non conventional,72.00,65.00,14.00,15.00,4342493.00,0.24,0.00,159.87,59.338,0.957
,Mixed / non conventional,72.00,65.00,15.00,7.00,553892.19,0.22,0.00,-73.98,-50.588,0.957
,Mixed / non conventional,72.00,65.00,22.00,23.00,1662971.13,0.35,0.00,-14.09,44.683,1.160
,Mixed / non conventional,72.00,65.00,23.00,31.00,230115.38,0.37,0.00,35.54,68.826,1.160
,Mixed / non conventional,72.00,65.00,31.00,30.00,362886.38,0.26,0.00,-32.63,-17.374,1.159
,Mixed / non conventional,72.00,65.00,30.00,22.00,345266.84,0.29,0.00,11.16,-95.896,1.159
,Mixed / non conventional,72.00,65.00,40.00,48.00,31144.75,0.22,0.00,-224.00,48.176,1.156
,Mixed / non conventional,72.00,65.00,48.00,47.00,-28614.05,0.22,0.00,144.72,8.431,1.156
,Mixed / non conventional,72.00,65.00,47.00,39.00,40430.43,0.05,0.00,-53.24,-50.847,1.068
,Mixed / non conventional,72.00,65.00,39.00,31.00,114698.61,0.05,0.00,-21.07,-61.174,1.068
,Mixed / non conventional,72.00,65.00,31.00,22.00,352068.78,0.22,0.00,-21.96,-57.704,0.583
,Mixed / non conventional,72.00,65.00,22.00,14.00,607362.94,0.22,0.00,-94.62,-50.140,0.583
,Mixed / non conventional,72.00,65.00,14.00,6.00,1274232.25,0.72,0.00,118.40,-49.597,0.430
,Mixed / non conventional,72.00,65.00,39.00,40.00,-17613.29,0.20,0.00,133.01,-1.917,1.156
,Mixed / non conventional,72.00,65.00,40.00,31.00,93591.41,0.26,0.00,-153.80,-64.210,1.156
,Mixed / non conventional,72.00,65.00,38.00,39.00,-11488.06,0.88,0.00,118.99,-1.122,1.151
,Mixed / non conventional,72.00,65.00,56.00,64.00,264.74,0.12,0.00,123.21,40.003,1.149
,Mixed / non conventional,72.00,65.00,64.00,63.00,-186.88,0.12,0.00,2.88,16.610,1.149
,Mixed / non conventional,72.00,65.00,63.00,55.00,757.10,0.28,0.00,-89.45,-48.106,1.148
,Mixed / non conventional,72.00,65.00,55.00,46.00,5958.56,0.29,0.00,-227.13,-29.406,1.148
,Mixed / non conventional,72.00,65.00,46.00,47.00,-57456.23,0.08,0.00,215.16,-14.519,1.146
,Mixed / non conventional,72.00,65.00,47.00,56.00,5892.11,0.10,0.00,-24.48,35.523,1.146
,Mixed / non conventional,72.00,65.00,56.00,48.00,7626.42,0.36,0.00,-120.64,-43.764,1.146
,Mixed / non conventional,72.00,65.00,48.00,39.00,28067.63,0.35,0.00,90.89,-46.077,1.146
,Mixed / non conventional,72.00,65.00,39.00,32.00,95299.48,0.28,0.00,-5.30,-49.394,1.140
,Mixed / non conventional,72.00,65.00,32.00,23.00,243261.55,0.29,0.00,-49.42,-83.968,1.140
,Mixed / non conventional,72.00,65.00,51.00,52.00,-149618.61,0.21,0.00,-159.09,-50.424,0.680
,Mixed / non conventional,72.00,65.00,52.00,44.00,37656.89,0.22,0.00,-17.95,-61.216,0.680
,Mixed / non conventional,72.00,65.00,44.00,35.00,48915.00,0.09,0.00,233.54,-49.620,1.138
,Mixed / non conventional,72.00,65.00,35.00,27.00,276485.66,0.08,0.00,-112.31,-110.853,1.138
,Mixed / non conventional,72.00,65.00,27.00,18.00,211007.08,0.07,0.00,-269.79,-50.936,1.136
,Mixed / non conventional,72.00,65.00,18.00,11.00,1492734.50,0.07,0.00,186.63,-170.794,1.136
,Mixed / non conventional,72.00,65.00,11.00,4.00,5686131.00,1.45,0.00,-41.14,-46.870,0.118
,Mixed / non conventional,72.00,65.00,70.00,69.00,2194.52,0.38,0.00,-171.55,50.284,0.664
,Mixed / non conventional,72.00,65.00,59.00,60.00,-30376.40,0.58,0.00,-319.28,-76.693,0.589
,Mixed / non conventional,72.00,65.00,60.00,52.00,5970.61,0.58,0.00,69.37,-50.248,0.589
,Mixed / non conventional,72.00,65.00,52.00,43.00,15151.98,0.43,0.00,183.46,-44.333,1.152
,Mixed / non conventional,72.00,65.00,43.00,35.00,126534.45,0.44,0.00,32.11,-108.284,1.152
,Mixed / non conventional,72.00,65.00,35.00,26.00,158301.11,1.14,0.00,-211.39,-50.532,0.834
,Mixed / non conventional,72.00,65.00,26.00,19.00,791224.06,1.13,0.00,-81.83,-108.268,0.834
,Mixed / non conventional,72.00,65.00,19.00,12.00,1957841.50,0.35,0.00,100.67,-240.256,1.151
,Mixed / non conventional,72.00,65.00,12.00,3.00,-20458.93,1.40,0.00,-50.08,2.117,1.151
,Mixed / non conventional,72.00,65.00,61.00,62.00,-5369.17,0.23,0.00,143.03,-72.713,1.146
,Mixed / non conventional,72.00,65.00,62.00,63.00,-1577.24,0.25,0.00,76.78,-44.754,1.146
,Mixed / non conventional,72.00,65.00,63.00,54.00,162.38,0.11,0.00,-302.79,-10.462,1.145
