,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,42.00,41.00,-473627.34,0.80,0.00,-128.83,50.387,0.908,MA72B65Rec
,Mixed / non conventional,72.00,65.00,41.00,33.00,246703.09,0.78,0.00,123.46,-135.436,0.908,MA72B65Rec
,Mixed / non conventional,72.00,65.00,44.00,43.00,-335672.47,0.25,0.00,388.81,50.432,1.012,MA72B65Rec
,Mixed / non conventional,72.00,65.00,43.00,42.00,-489419.16,0.26,0.00,-428.13,65.168,1.012,MA72B65Rec
,Mixed / non conventional,72.00,65.00,42.00,34.00,196092.41,0.26,0.00,40.55,-132.710,1.012,MA72B65Rec
,Mixed / non conventional,72.00,65.00,34.00,25.00,199169.64,0.26,0.00,-22.72,-71.166,1.012,MA72B65Rec
,Mixed / non conventional,72.00,65.00,46.00,45.00,-157354.64,0.49,0.00,89.06,33.511,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,45.00,44.00,-226934.94,0.46,0.00,-84.67,42.369,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,44.00,36.00,120024.86,0.48,0.00,84.75,-110.111,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,36.00,27.00,161870.17,0.47,0.00,172.03,-74.579,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,27.00,19.00,534866.38,0.47,0.00,-252.99,-115.350,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,10.00,166136.13,0.55,0.00,22.71,-23.989,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,3.00,3373454.75,0.49,0.00,92.51,-247.897,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,51.00,50.00,-255369.30,0.92,0.00,-455.81,71.775,0.680,MA72B65Rec
,Mixed / non conventional,72.00,65.00,50.00,49.00,-210317.27,0.91,0.00,-207.27,49.850,0.680,MA72B65Rec
,Mixed / non conventional,72.00,65.00,49.00,41.00,117481.40,0.92,0.00,241.15,-122.209,0.680,MA72B65Rec
,Mixed / non conventional,72.00,65.00,53.00,52.00,-95906.40,0.67,0.00,79.10,50.502,0.876,MA72B65Rec
,Mixed / non conventional,72.00,65.00,55.00,47.00,11566.68,0.21,0.00,-43.40,-52.829,1.120,MA72B65Rec
