,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,24.00,23.00,1078085.75,0.27,0.00,140.83,-82.450,3.089,MA72B65Rec
,Mixed / non conventional,72.00,65.00,23.00,16.00,226071.50,0.28,0.00,-183.76,-94.517,3.089,MA72B65Rec
,Mixed / non conventional,72.00,65.00,16.00,7.00,1131431.38,0.27,0.00,51.80,-386.206,3.089,MA72B65Rec
,Mixed / non conventional,72.00,65.00,59.00,58.00,-55151.50,0.61,0.00,-476.39,53.929,0.335,MA72B65Rec
,Mixed / non conventional,72.00,65.00,58.00,57.00,-71227.16,0.59,0.00,-54.74,49.799,0.335,MA72B65Rec
,Mixed / non conventional,72.00,65.00,57.00,49.00,44907.97,0.60,0.00,-92.11,-94.255,0.335,MA72B65Rec
,Mixed / non conventional,72.00,65.00,61.00,60.00,-11125.51,0.55,0.00,-119.81,47.491,0.632,MA72B65Rec
,Mixed / non conventional,72.00,65.00,63.00,56.00,1104.11,0.12,0.00,-128.02,-284.602,4.760,MA72B65Rec
,Mixed / non conventional,72.00,65.00,56.00,55.00,-8555.00,0.05,0.00,65.06,48.180,4.760,MA72B65Rec
,Mixed / non conventional,72.00,65.00,55.00,54.00,-34396.95,0.12,0.00,-265.98,151.723,4.760,MA72B65Rec
,Mixed / non conventional,72.00,65.00,54.00,53.00,-56553.67,0.13,0.00,16.72,199.283,4.760,MA72B65Rec
,Mixed / non conventional,72.00,65.00,53.00,45.00,27626.70,0.13,0.00,50.57,-371.231,4.760,MA72B65Rec
,Mixed / non conventional,72.00,65.00,45.00,37.00,98282.97,0.11,0.00,-89.79,-433.311,4.760,MA72B65Rec
,Mixed / non conventional,72.00,65.00,37.00,29.00,251720.47,0.13,0.00,62.41,-499.757,4.760,MA72B65Rec
,Mixed / non conventional,72.00,65.00,29.00,21.00,538425.81,0.12,0.00,-57.18,-572.045,4.760,MA72B65Rec
,Mixed / non conventional,72.00,65.00,68.00,67.00,4828.87,0.39,0.00,-20.08,85.701,0.515,MA72B65Rec
,Mixed / non conventional,72.00,65.00,67.00,66.00,3107.88,0.40,0.00,-168.98,135.773,0.515,MA72B65Rec
,Mixed / non conventional,72.00,65.00,66.00,58.00,1739.21,0.40,0.00,-164.88,-108.543,0.515,MA72B65Rec
,Mixed / non conventional,72.00,65.00,58.00,50.00,26201.38,0.40,0.00,47.74,-107.775,0.515,MA72B65Rec
,Mixed / non conventional,72.00,65.00,50.00,42.00,91809.38,0.41,0.00,60.78,-83.229,0.515,MA72B65Rec
,Mixed / non conventional,72.00,65.00,42.00,33.00,129634.88,0.40,0.00,-1.59,-48.166,0.515,MA72B65Rec
,Mixed / non conventional,72.00,65.00,70.00,63.00,-721.00,0.33,0.00,124.12,-47.402,0.600,MA72B65Rec
,Mixed / non conventional,72.00,65.00,4.00,5.00,-2636609.25,0.54,0.00,-7.02,-44.369,1.968,MA72B65Rec
,Mixed / non conventional,72.00,65.00,14.00,15.00,4852698.50,0.12,0.00,159.88,50.950,0.736,MA72B65Rec
,Mixed / non conventional,72.00,65.00,15.00,7.00,680088.25,0.11,0.00,-111.26,-47.726,0.736,MA72B65Rec
,Mixed / non conventional,72.00,65.00,22.00,23.00,2007230.63,0.24,0.00,92.02,164.722,3.543,MA72B65Rec
