3406
661	1 13	1 15	1 61	1 63
662	1 13	1 15	1 63	1 65
663	1 13	1 15	1 65	1 67
664	1 13	1 15	1 67	1 69
665	1 13	1 15	1 69	1 71
666	1 13	1 15	1 1	1 3
667	1 13	1 15	1 3	1 5
668	1 14	1 16	1 17	1 19
669	1 14	1 16	1 19	1 21
670	1 14	1 16	1 21	1 23
671	1 14	1 16	1 29	1 31
672	1 14	1 16	1 18	1 20
673	1 14	1 16	1 22	1 24
674	1 14	1 16	1 24	1 26
675	1 14	1 16	1 26	1 28
676	1 14	1 16	1 28	1 30
677	1 14	1 16	1 30	1 32
678	1 14	1 16	1 34	1 36
679	1 14	1 16	1 36	1 38
680	1 14	1 16	1 35	1 37
681	1 14	1 16	1 37	1 39
682	1 14	1 16	1 41	1 43
683	1 14	1 16	1 43	1 45
684	1 14	1 16	1 45	1 47
685	1 14	1 16	1 49	1 51
686	1 14	1 16	1 51	1 53
687	1 14	1 16	1 53	1 55
688	1 14	1 16	1 38	1 40
689	1 14	1 16	1 42	1 44
690	1 14	1 16	1 44	1 46
691	1 14	1 16	1 46	1 48
692	1 14	1 16	1 50	1 52
693	1 14	1 16	1 52	1 54
694	1 14	1 16	1 54	1 56
695	1 14	1 16	1 56	1 58
696	1 14	1 16	1 55	1 57
697	1 14	1 16	1 57	1 59
698	1 14	1 16	1 59	1 61
699	1 14	1 16	1 61	1 63
700	1 14	1 16	1 63	1 65
701	1 14	1 16	1 65	1 67
702	1 14	1 16	1 67	1 69
703	1 14	1 16	1 69	1 71
704	1 14	1 16	1 1	1 3
705	1 14	1 16	1 58	1 60
706	1 14	1 16	1 60	1 62
707	1 14	1 16	1 62	1 64
708	1 14	1 16	1 64	1 66
709	1 14	1 16	1 66	1 68
710	1 14	1 16	1 68	1 70
711	1 14	1 16	1 70	1 72
712	1 14	1 16	1 2	1 4
713	1 14	1 16	1 4	1 6
714	1 15	1 17	1 24	1 26
715	1 15	1 17	1 32	1 34
716	1 15	1 17	1 31	1 33
717	1 15	1 17	1 36	1 38
718	1 15	1 17	1 38	1 40
719	1 15	1 17	1 40	1 42
720	1 15	1 17	1 42	1 44
721	1 15	1 17	1 44	1 46
722	1 15	1 17	1 48	1 50
723	1 15	1 17	1 50	1 52
724	1 15	1 17	1 52	1 54
725	1 15	1 17	1 41	1 43
726	1 15	1 17	1 43	1 45
727	1 15	1 17	1 45	1 47
728	1 15	1 17	1 47	1 49
729	1 15	1 17	1 49	1 51
730	1 15	1 17	1 51	1 53
731	1 15	1 17	1 53	1 55
732	1 15	1 17	1 55	1 57
733	1 15	1 17	1 57	1 59
734	1 15	1 17	1 56	1 58
735	1 15	1 17	1 58	1 60
736	1 15	1 17	1 60	1 62
737	1 15	1 17	1 62	1 64
738	1 15	1 17	1 64	1 66
739	1 15	1 17	1 66	1 68
740	1 15	1 17	1 68	1 70
741	1 15	1 17	1 70	1 72
742	1 15	1 17	1 2	1 4
743	1 15	1 17	1 59	1 61
744	1 15	1 17	1 61	1 63
745	1 15	1 17	1 63	1 65
746	1 15	1 17	1 65	1 67
747	1 15	1 17	1 67	1 69
748	1 15	1 17	1 69	1 71
749	1 15	1 17	1 1	1 3
750	1 15	1 17	1 3	1 5
751	1 15	1 17	1 5	1 7
752	1 16	1 18	1 23	1 25
753	1 16	1 18	1 31	1 33
754	1 16	1 18	1 24	1 26
755	1 16	1 18	1 32	1 34
756	1 16	1 18	1 37	1 39
757	1 16	1 18	1 39	1 41
758	1 16	1 18	1 41	1 43
759	1 16	1 18	1 43	1 45
760	1 16	1 18	1 45	1 47
761	1 16	1 18	1 47	1 49
762	1 16	1 18	1 49	1 51
763	1 16	1 18	1 51	1 53
764	1 16	1 18	1 53	1 55
765	1 16	1 18	1 55	1 57
766	1 16	1 18	1 42	1 44
767	1 16	1 18	1 44	1 46
768	1 16	1 18	1 46	1 48
769	1 16	1 18	1 48	1 50
770	1 16	1 18	1 50	1 52
771	1 16	1 18	1 52	1 54
772	1 16	1 18	1 56	1 58
773	1 16	1 18	1 58	1 60
774	1 16	1 18	1 57	1 59
775	1 16	1 18	1 59	1 61
776	1 16	1 18	1 61	1 63
