1372
292	1 10	1 12	1 43	1 45	48.09034286275666
293	1 10	1 12	1 45	1 47	20.5096429971682
294	1 10	1 12	1 34	1 36	84.19557411491468
295	1 10	1 12	1 42	1 44	53.551135699356266
296	1 10	1 12	1 46	1 48	9.232102554278576
297	1 10	1 12	1 54	1 56	10.147614508439126
298	1 10	1 12	1 62	1 64	9.22310112808815
299	1 10	1 12	1 71	1 1	-425.57756818428084
300	1 11	1 13	1 12	1 14	217.74192826131127
301	1 11	1 13	1 14	1 16	-50.85680795845158
302	1 11	1 13	1 18	1 20	161.6542474866659
303	1 11	1 13	1 20	1 22	168.21843637505737
304	1 11	1 13	1 22	1 24	-24.011791596081583
305	1 11	1 13	1 24	1 26	-230.2500415240624
306	1 11	1 13	1 26	1 28	100.13832813486371
307	1 11	1 13	1 28	1 30	104.60336530749734
308	1 11	1 13	1 30	1 32	6.120372443210243
309	1 11	1 13	1 19	1 21	297.7404091340012
310	1 11	1 13	1 23	1 25	-245.69307383946312
311	1 11	1 13	1 25	1 27	44.32928590064843
312	1 11	1 13	1 27	1 29	137.14407643912438
313	1 11	1 13	1 29	1 31	37.71944351969765
314	1 11	1 13	1 38	1 40	17.36052521869967
315	1 11	1 13	1 46	1 48	14.723150584676056
316	1 11	1 13	1 37	1 39	35.3963101313707
317	1 11	1 13	1 41	1 43	32.097205503245775
318	1 11	1 13	1 45	1 47	28.79639865113338
319	1 11	1 13	1 54	1 56	13.635341361525047
320	1 11	1 13	1 62	1 64	11.13311733234902
321	1 12	1 14	1 13	1 15	199.4540699364188
322	1 12	1 14	1 15	1 17	-310.08458553955245
323	1 12	1 14	1 17	1 19	-27.638983766081694
324	1 12	1 14	1 19	1 21	151.45865358453628
325	1 12	1 14	1 21	1 23	134.12723032862215
326	1 12	1 14	1 23	1 25	-227.6438513726593
327	1 12	1 14	1 25	1 27	7.267726189980344
328	1 12	1 14	1 27	1 29	94.56951252505996
329	1 12	1 14	1 29	1 31	84.42809912506509
330	1 12	1 14	1 31	1 33	-159.16747747936128
331	1 12	1 14	1 20	1 22	259.99838892543
332	1 12	1 14	1 24	1 26	-227.20984504582043
333	1 12	1 14	1 26	1 28	37.01048035637818
334	1 12	1 14	1 28	1 30	122.80104315682436
335	1 12	1 14	1 32	1 34	-155.55862373161614
336	1 12	1 14	1 37	1 39	52.42283803297789
337	1 12	1 14	1 45	1 47	34.623785151940126
338	1 12	1 14	1 46	1 48	21.371768167513487
339	1 12	1 14	1 54	1 56	16.758383722256433
340	1 12	1 14	1 53	1 55	26.273868431098304
341	1 12	1 14	1 62	1 64	12.420462015656945
342	1 13	1 15	1 16	1 18	-301.51134646588656
343	1 13	1 15	1 18	1 20	-25.61425171872508
344	1 13	1 15	1 20	1 22	124.06285074541597
345	1 13	1 15	1 24	1 26	-225.5607283626007
346	1 13	1 15	1 28	1 30	79.98897866483776
347	1 13	1 15	1 32	1 34	-144.83841598282228
348	1 13	1 15	1 17	1 19	-17.27014270142154
349	1 13	1 15	1 23	1 25	-193.64845444370565
350	1 13	1 15	1 27	1 29	32.639051762659875
351	1 13	1 15	1 31	1 33	-122.10389441562224
352	1 13	1 15	1 35	1 37	31.694261194468858
353	1 13	1 15	1 36	1 38	51.73574246436118
354	1 13	1 15	1 40	1 42	-99.85520276454903
355	1 13	1 15	1 44	1 46	35.823972874789305
356	1 13	1 15	1 48	1 50	-69.71653888851989
357	1 13	1 15	1 52	1 54	25.591029689273206
358	1 13	1 15	1 39	1 41	-83.29654953676122
359	1 13	1 15	1 43	1 45	27.211098292142744
360	1 13	1 15	1 45	1 47	34.20052275765866
361	1 13	1 15	1 47	1 49	-60.86544407546289
362	1 13	1 15	1 53	1 55	24.5921519644768
363	1 13	1 15	1 55	1 57	-48.89731856029968
364	1 13	1 15	1 56	1 58	-53.17598929690336
365	1 13	1 15	1 60	1 62	19.724448001826048
366	1 13	1 15	1 64	1 66	-42.24964323260424
367	1 13	1 15	1 70	1 72	7.44773167412632
368	1 13	1 15	1 61	1 63	18.53950257241356
369	1 13	1 15	1 69	1 71	13.136657010616656
370	1 14	1 16	1 19	1 21	-21.382196748387408
371	1 14	1 16	1 27	1 29	5.630464726165895
372	1 14	1 16	1 31	1 33	-73.01357651360169
373	1 14	1 16	1 18	1 20	-14.833513156337439
374	1 14	1 16	1 20	1 22	-3.581609478612557
375	1 14	1 16	1 24	1 26	-218.3849051504639
376	1 14	1 16	1 28	1 30	31.05177252212936
377	1 14	1 16	1 34	1 36	5.339410676851026
378	1 14	1 16	1 36	1 38	30.867586116018597
379	1 14	1 16	1 35	1 37	14.588843728188369
380	1 14	1 16	1 41	1 43	4.5417696277275965
381	1 14	1 16	1 43	1 45	16.254022942518148
382	1 14	1 16	1 47	1 49	-42.35629397324968
383	1 14	1 16	1 49	1 51	5.011314329942316
384	1 14	1 16	1 51	1 53	14.908384632426829
385	1 14	1 16	1 42	1 44	8.914940982189119
386	1 14	1 16	1 44	1 46	24.109546406752713
387	1 14	1 16	1 48	1 50	-53.673402187495185
388	1 14	1 16	1 50	1 52	9.524488294740886
389	1 14	1 16	1 52	1 54	18.327972006497944
390	1 14	1 16	1 56	1 58	-40.18354163542135
391	1 14	1 16	1 55	1 57	-35.19695352145214
392	1 14	1 16	1 57	1 59	4.876879851358583
393	1 14	1 16	1 59	1 61	12.43456971682141
394	1 14	1 16	1 61	1 63	14.659988130765605
395	1 14	1 16	1 63	1 65	-29.125474405893378
396	1 14	1 16	1 65	1 67	5.274155442848139
397	1 14	1 16	1 67	1 69	10.746839271566168
398	1 14	1 16	1 69	1 71	10.14754385926919
399	1 14	1 16	1 71	1 1	-70.88960597451569
400	1 14	1 16	1 58	1 60	9.670229506249814
401	1 14	1 16	1 60	1 62	14.573502180346281
402	1 14	1 16	1 64	1 66	-31.509775383556526
403	1 14	1 16	1 66	1 68	9.239545168369698
404	1 14	1 16	1 68	1 70	11.475444814023195
405	1 14	1 16	1 70	1 72	6.030514688054278
406	1 14	1 16	1 72	1 2	-79.01623662698259
407	1 15	1 17	1 16	1 18	813.074392891526
408	1 15	1 17	1 18	1 20	-391.9978880356984
409	1 15	1 17	1 20	1 22	-251.78623157953714
410	1 15	1 17	1 24	1 26	640.1030834461342
411	1 15	1 17	1 26	1 28	-282.7771764719504
412	1 15	1 17	1 28	1 30	-197.07742506793937
413	1 15	1 17	1 32	1 34	451.59687276057
414	1 15	1 17	1 34	1 36	-186.7624560839294
415	1 15	1 17	1 19	1 21	-294.1681393010242
416	1 15	1 17	1 23	1 25	796.9043568835189
417	1 15	1 17	1 25	1 27	-356.1701253827441
418	1 15	1 17	1 27	1 29	-232.6432623250152
419	1 15	1 17	1 31	1 33	532.0758535489667
420	1 15	1 17	1 33	1 35	-204.6152214816349
421	1 15	1 17	1 35	1 37	-168.20931905407582
422	1 15	1 17	1 36	1 38	-143.7670118877242
423	1 15	1 17	1 40	1 42	335.87264105696
424	1 15	1 17	1 44	1 46	-112.39389306636605
425	1 15	1 17	1 48	1 50	253.11117093051448
426	1 15	1 17	1 50	1 52	-97.39113370573088
427	1 15	1 17	1 54	1 56	-41.04012716258255
428	1 15	1 17	1 41	1 43	-122.90739923157169
429	1 15	1 17	1 45	1 47	-80.05799240056486
430	1 15	1 17	1 47	1 49	262.17621799553143
431	1 15	1 17	1 53	1 55	-67.44877866983082
432	1 15	1 17	1 62	1 64	-32.77344969909213
433	1 15	1 17	1 70	1 72	-22.918063692556117
434	1 15	1 17	1 61	1 63	-56.28870434747643
435	1 16	1 18	1 17	1 19	-169.00796619603847
436	1 16	1 18	1 19	1 21	-337.9605400067952
437	1 16	1 18	1 23	1 25	628.321171434901
438	1 16	1 18	1 25	1 27	-142.40021371586488
439	1 16	1 18	1 27	1 29	-244.68082640435458
440	1 16	1 18	1 31	1 33	452.09195384768964
441	1 16	1 18	1 33	1 35	-110.55082199335942
442	1 16	1 18	1 35	1 37	-161.73745760316564
443	1 16	1 18	1 20	1 22	-257.4904546511439
444	1 16	1 18	1 24	1 26	728.1674568372296
445	1 16	1 18	1 26	1 28	-261.57464946822216
446	1 16	1 18	1 28	1 30	-212.67135520385702
447	1 16	1 18	1 32	1 34	458.7812672389598
448	1 16	1 18	1 34	1 36	-146.52000014972975
449	1 16	1 18	1 36	1 38	-150.56271769387195
450	1 16	1 18	1 37	1 39	-123.1392872931961
451	1 16	1 18	1 39	1 41	321.1106795509663
452	1 16	1 18	1 41	1 43	-78.76712351549124
453	1 16	1 18	1 43	1 45	-116.6353090457158
454	1 16	1 18	1 45	1 47	-88.35891065467149
455	1 16	1 18	1 47	1 49	231.8697213982373
456	1 16	1 18	1 49	1 51	-54.65096375378518
457	1 16	1 18	1 51	1 53	-91.01245800671893
458	1 16	1 18	1 53	1 55	-70.43669850302658
459	1 16	1 18	1 55	1 57	183.00341748991133
460	1 16	1 18	1 40	1 42	325.19966527712177
461	1 16	1 18	1 42	1 44	-102.60425022488555
462	1 16	1 18	1 44	1 46	-112.87734052915482
463	1 16	1 18	1 48	1 50	239.90647202240626
464	1 16	1 18	1 50	1 52	-78.37333910839416
465	1 16	1 18	1 52	1 54	-85.55173928180074
466	1 16	1 18	1 56	1 58	185.1011628942354
467	1 16	1 18	1 61	1 63	-56.74814656077031
468	1 16	1 18	1 69	1 71	-42.864475284173665
469	1 16	1 18	1 62	1 64	-34.77268424558872
470	1 16	1 18	1 70	1 72	-23.004313601842078
471	1 17	1 19	1 18	1 20	236.72897934468898
472	1 17	1 19	1 20	1 22	-57.217300605833486
473	1 17	1 19	1 26	1 28	170.09501869887922
474	1 17	1 19	1 30	1 32	-7.173383490045966
475	1 17	1 19	1 34	1 36	104.62466127245953
476	1 17	1 19	1 21	1 23	-21.345587406730623
477	1 17	1 19	1 29	1 31	-13.354632356049585
478	1 17	1 19	1 33	1 35	170.96659608757105
479	1 17	1 19	1 35	1 37	40.72100491529963
480	1 17	1 19	1 39	1 41	-134.77548393522756
481	1 17	1 19	1 42	1 44	66.77968293857282
482	1 17	1 19	1 46	1 48	2.6411594112268366
483	1 17	1 19	1 50	1 52	45.69298471575863
484	1 17	1 19	1 54	1 56	5.447047164044769
485	1 17	1 19	1 41	1 43	85.43724042929847
486	1 17	1 19	1 62	1 64	6.364229542145205
487	1 18	1 20	1 19	1 21	203.25405091026653
488	1 18	1 20	1 21	1 23	-47.25534920090095
489	1 18	1 20	1 25	1 27	175.90247445783973
490	1 18	1 20	1 27	1 29	142.48198198303396
491	1 18	1 20	1 29	1 31	-19.528645758005844
492	1 18	1 20	1 31	1 33	-215.37925816835002
493	1 18	1 20	1 33	1 35	107.93825981106926
494	1 18	1 20	1 35	1 37	86.85836503279516
495	1 18	1 20	1 22	1 24	-19.963281670218855
496	1 18	1 20	1 30	1 32	-11.595106595246948
497	1 18	1 20	1 34	1 36	120.91265584535904
498	1 18	1 20	1 36	1 38	35.18703837719807
499	1 18	1 20	1 38	1 40	1.4722315945214248
500	1 18	1 20	1 41	1 43	62.968092178063124
501	1 18	1 20	1 53	1 55	19.164472728558486
502	1 18	1 20	1 46	1 48	5.911285456639197
503	1 18	1 20	1 54	1 56	8.900341325633885
504	1 18	1 20	1 62	1 64	9.056111429185744
505	1 19	1 21	1 20	1 22	182.2815546426408
506	1 19	1 21	1 22	1 24	-46.094620431108254
507	1 19	1 21	1 26	1 28	138.43281681193554
508	1 19	1 21	1 28	1 30	136.63462177480199
509	1 19	1 21	1 34	1 36	83.85007244430801
510	1 19	1 21	1 36	1 38	81.50460270440124
511	1 19	1 21	1 38	1 40	8.675870315357415
512	1 19	1 21	1 23	1 25	-244.68919251095906
513	1 19	1 21	1 27	1 29	244.17721980374685
514	1 19	1 21	1 33	1 35	39.22572885657547
515	1 19	1 21	1 35	1 37	110.93383378901086
516	1 19	1 21	1 37	1 39	31.236679538657107
517	1 19	1 21	1 46	1 48	12.83138838895248
518	1 19	1 21	1 54	1 56	14.305782534570962
519	1 19	1 21	1 62	1 64	12.578992503182876
520	1 20	1 22	1 21	1 23	143.39151005506739
521	1 20	1 22	1 23	1 25	-247.8458716396039
522	1 20	1 22	1 25	1 27	-23.74850012347077
523	1 20	1 22	1 27	1 29	127.38876423407359
524	1 20	1 22	1 29	1 31	109.98101608044755
525	1 20	1 22	1 31	1 33	-190.21546750654258
526	1 20	1 22	1 35	1 37	76.85566078117003
527	1 20	1 22	1 37	1 39	67.68290235425522
528	1 20	1 22	1 39	1 41	-131.6984684709421
529	1 20	1 22	1 24	1 26	-222.1817733232508
