,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,31.00,22.00,348920.66,0.45,0.00,-126.72,-105.086,1.072
,Mixed / non conventional,72.00,65.00,22.00,14.00,488634.09,0.49,0.00,-134.06,-74.124,1.072
,Mixed / non conventional,72.00,65.00,14.00,6.00,992974.63,0.51,0.00,161.72,-96.343,1.072
,Mixed / non conventional,72.00,65.00,39.00,40.00,-120672.82,0.03,0.00,19.42,-12.180,1.072
,Mixed / non conventional,72.00,65.00,40.00,31.00,112087.93,0.12,0.00,-21.75,-71.317,1.072
,Mixed / non conventional,72.00,65.00,38.00,39.00,-220862.97,0.32,0.00,112.88,-20.177,1.076
,Mixed / non conventional,72.00,65.00,56.00,64.00,421.75,0.09,0.00,46.59,59.258,1.068
,Mixed / non conventional,72.00,65.00,64.00,63.00,-277.24,0.11,0.00,-10.84,22.914,1.068
,Mixed / non conventional,72.00,65.00,63.00,55.00,1162.69,0.10,0.00,2.71,-68.737,1.068
,Mixed / non conventional,72.00,65.00,55.00,46.00,9250.78,0.08,0.00,-288.77,-42.477,1.068
,Mixed / non conventional,72.00,65.00,46.00,47.00,-94013.88,0.07,0.00,324.03,-22.147,1.068
,Mixed / non conventional,72.00,65.00,47.00,56.00,9028.04,0.28,0.00,-72.98,50.887,1.071
,Mixed / non conventional,72.00,65.00,56.00,48.00,13133.22,0.29,0.00,-150.97,-70.439,1.071
,Mixed / non conventional,72.00,65.00,48.00,39.00,45593.82,0.29,0.00,163.66,-69.957,1.071
,Mixed / non conventional,72.00,65.00,39.00,32.00,144926.33,0.27,0.00,-54.85,-70.565,1.071
,Mixed / non conventional,72.00,65.00,32.00,23.00,237047.53,0.29,0.00,33.81,-76.866,1.071
,Mixed / non conventional,72.00,65.00,51.00,52.00,-130774.26,0.44,0.00,-31.15,-65.982,1.018
,Mixed / non conventional,72.00,65.00,52.00,44.00,41033.73,0.44,0.00,85.57,-99.865,1.018
,Mixed / non conventional,72.00,65.00,44.00,35.00,78702.11,0.44,0.00,140.98,-71.401,1.018
,Mixed / non conventional,72.00,65.00,35.00,27.00,362252.06,0.43,0.00,-90.99,-129.894,1.018
,Mixed / non conventional,72.00,65.00,27.00,18.00,235873.92,0.44,0.00,-292.83,-51.047,1.018
,Mixed / non conventional,72.00,65.00,18.00,11.00,1363243.75,0.43,0.00,132.56,-139.838,1.018
,Mixed / non conventional,72.00,65.00,11.00,4.00,4095865.00,0.41,0.00,76.10,-290.395,1.018
,Mixed / non conventional,72.00,65.00,70.00,69.00,1783.27,0.30,0.00,-22.43,50.804,0.826
,Mixed / non conventional,72.00,65.00,59.00,60.00,-25165.70,0.29,0.00,-365.08,-114.484,1.062
,Mixed / non conventional,72.00,65.00,60.00,52.00,6062.70,0.30,0.00,-15.97,-91.935,1.062
,Mixed / non conventional,72.00,65.00,52.00,43.00,20017.05,0.30,0.00,127.26,-53.952,1.062
,Mixed / non conventional,72.00,65.00,43.00,35.00,158728.08,0.29,0.00,99.74,-125.130,1.062
,Mixed / non conventional,72.00,65.00,35.00,26.00,229831.97,0.30,0.00,-395.81,-93.375,1.062
,Mixed / non conventional,72.00,65.00,26.00,19.00,852945.19,0.29,0.00,87.52,-148.546,1.062
,Mixed / non conventional,72.00,65.00,19.00,12.00,1735342.00,0.29,0.00,133.12,-196.444,1.062
,Mixed / non conventional,72.00,65.00,12.00,3.00,-224945.08,0.18,0.00,21.33,21.474,1.062
,Mixed / non conventional,72.00,65.00,61.00,62.00,-4685.15,0.32,0.00,117.97,-58.857,1.063
,Mixed / non conventional,72.00,65.00,62.00,63.00,-1308.04,0.32,0.00,67.22,-34.430,1.063
,Mixed / non conventional,72.00,65.00,63.00,54.00,505.34,0.31,0.00,-220.07,-30.230,1.063
,Mixed / non conventional,72.00,65.00,54.00,46.00,22441.46,0.32,0.00,-65.98,-80.440,1.063
,Mixed / non conventional,72.00,65.00,46.00,38.00,82366.98,0.32,0.00,150.70,-91.216,1.063
,Mixed / non conventional,72.00,65.00,38.00,30.00,235306.00,0.31,0.00,-79.89,-114.008,1.063
,Mixed / non conventional,72.00,65.00,30.00,21.00,395500.06,0.34,0.00,-35.32,-109.918,1.063
,Mixed / non conventional,72.00,65.00,21.00,13.00,851767.69,0.34,0.00,85.77,-120.751,1.063
,Mixed / non conventional,72.00,65.00,13.00,5.00,2412215.75,0.23,0.00,-10.44,-220.543,1.063
,Mixed / non conventional,72.00,65.00,68.00,69.00,3053.96,0.64,0.00,-68.18,-50.670,0.625
,Mixed / non conventional,72.00,65.00,43.00,51.00,56604.78,0.13,0.00,-95.68,121.870,1.054
,Mixed / non conventional,72.00,65.00,51.00,59.00,12380.91,0.13,0.00,349.49,136.905,1.054
,Mixed / non conventional,72.00,65.00,59.00,67.00,2820.96,0.12,0.00,-173.18,99.472,1.054
,Mixed / non conventional,72.00,65.00,67.00,58.00,-961.57,0.14,0.00,-444.20,36.860,1.054
,Mixed / non conventional,72.00,65.00,58.00,49.00,13440.45,0.13,0.00,122.07,-118.129,1.054
,Mixed / non conventional,72.00,65.00,49.00,42.00,145548.72,0.12,0.00,-18.65,-216.681,1.054
,Mixed / non conventional,72.00,65.00,60.00,68.00,-14614.94,0.49,0.00,112.54,81.676,1.053
,Mixed / non conventional,72.00,65.00,68.00,59.00,29728.48,0.49,0.00,252.63,31.950,1.053
,Mixed / non conventional,72.00,65.00,59.00,50.00,3809.63,0.49,0.00,-509.95,-43.771,1.053
,Mixed / non conventional,72.00,65.00,50.00,41.00,51309.91,0.50,0.00,41.63,-101.539,1.053
,Mixed / non conventional,72.00,65.00,53.00,61.00,3617.02,0.23,0.00,62.67,78.497,1.062
,Mixed / non conventional,72.00,65.00,61.00,69.00,-1576.36,0.24,0.00,41.73,64.596,1.062
,Mixed / non conventional,72.00,65.00,69.00,60.00,142.48,0.32,0.00,-44.85,4.817,1.062
,Mixed / non conventional,72.00,65.00,60.00,51.00,1472.45,0.21,0.00,16.11,-23.112,1.062
,Mixed / non conventional,72.00,65.00,51.00,42.00,26655.55,0.22,0.00,-165.06,-61.568,1.062
,Mixed / non conventional,72.00,65.00,42.00,35.00,284592.28,0.24,0.00,361.09,-184.658,1.062
,Mixed / non conventional,72.00,65.00,35.00,28.00,522449.59,0.23,0.00,-70.21,-177.201,1.062
,Mixed / non conventional,72.00,65.00,54.00,62.00,1928.52,0.13,0.00,152.79,64.137,1.055
,Mixed / non conventional,72.00,65.00,62.00,70.00,-637.36,0.14,0.00,-53.81,57.102,1.055
,Mixed / non conventional,72.00,65.00,70.00,61.00,16.12,0.18,0.00,-64.34,1.243,1.055
,Mixed / non conventional,72.00,65.00,15.00,23.00,383410.38,0.30,0.00,36.20,50.820,0.881
,Mixed / non conventional,72.00,65.00,23.00,14.00,647745.31,0.26,0.00,-242.32,-94.002,0.881
,Mixed / non conventional,72.00,65.00,14.00,5.00,2677714.50,0.33,0.00,110.74,-234.745,0.881
,Mixed / non conventional,72.00,65.00,34.00,43.00,96174.95,0.72,0.00,245.98,50.887,0.661
,Mixed / non conventional,72.00,65.00,43.00,36.00,234841.47,0.73,0.00,-46.36,-105.413,0.661
,Mixed / non conventional,72.00,65.00,52.00,61.00,992.00,0.13,0.00,18.57,21.906,1.050
,Mixed / non conventional,72.00,65.00,61.00,54.00,5904.72,0.17,0.00,-34.39,-122.076,1.050
,Mixed / non conventional,72.00,65.00,54.00,45.00,11929.76,0.16,0.00,91.02,-44.630,1.050
,Mixed / non conventional,72.00,65.00,45.00,36.00,75676.21,0.15,0.00,7.39,-79.127,1.050
,Mixed / non conventional,72.00,65.00,36.00,29.00,424585.25,0.17,0.00,-81.59,-154.864,1.050
,Mixed / non conventional,72.00,65.00,44.00,53.00,14890.64,0.50,0.00,-129.21,46.922,1.053
,Mixed / non conventional,72.00,65.00,53.00,62.00,599.87,0.42,0.00,180.72,20.377,1.053
,Mixed / non conventional,72.00,65.00,28.00,37.00,211565.13,0.85,0.00,-166.25,99.013,1.034
,Mixed / non conventional,72.00,65.00,37.00,46.00,61556.86,0.85,0.00,-72.10,71.206,1.034
,Mixed / non conventional,72.00,65.00,46.00,39.00,109039.47,0.85,0.00,264.00,-107.901,1.034
,Mixed / non conventional,72.00,65.00,39.00,30.00,163460.42,0.83,0.00,-193.15,-91.393,1.034
