,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,39.00,31.00,120075.56,0.10,0.00,-20.93,-453.694,7.568,MA72B65Rec
,Mixed / non conventional,72.00,65.00,31.00,22.00,367733.53,0.10,0.00,-134.81,-782.074,7.568,MA72B65Rec
,Mixed / non conventional,72.00,65.00,22.00,14.00,585691.69,0.10,0.00,-123.74,-627.390,7.568,MA72B65Rec
,Mixed / non conventional,72.00,65.00,14.00,6.00,1279717.38,0.10,0.00,72.73,-876.780,7.568,MA72B65Rec
,Mixed / non conventional,72.00,65.00,39.00,40.00,-10213.52,0.11,0.00,168.52,-11.131,11.577,MA72B65Rec
,Mixed / non conventional,72.00,65.00,40.00,31.00,99334.52,0.12,0.00,-194.28,-682.414,11.577,MA72B65Rec
,Mixed / non conventional,72.00,65.00,38.00,39.00,-12622.12,0.12,0.00,157.26,-12.457,11.629,MA72B65Rec
,Mixed / non conventional,72.00,65.00,56.00,64.00,260.55,0.06,0.00,81.82,234.307,6.837,MA72B65Rec
,Mixed / non conventional,72.00,65.00,64.00,63.00,-171.54,0.05,0.00,48.29,90.743,6.837,MA72B65Rec
,Mixed / non conventional,72.00,65.00,63.00,55.00,758.10,0.05,0.00,-76.19,-286.856,6.837,MA72B65Rec
,Mixed / non conventional,72.00,65.00,55.00,46.00,7642.30,0.06,0.00,-314.87,-224.599,6.837,MA72B65Rec
,Mixed / non conventional,72.00,65.00,46.00,47.00,-33166.91,0.04,0.00,271.54,-50.007,6.837,MA72B65Rec
,Mixed / non conventional,72.00,65.00,47.00,56.00,6478.84,0.20,0.00,-7.86,47.332,1.389,MA72B65Rec
,Mixed / non conventional,72.00,65.00,56.00,48.00,8095.61,0.21,0.00,-145.87,-56.278,1.389,MA72B65Rec
,Mixed / non conventional,72.00,65.00,48.00,39.00,31835.60,0.20,0.00,165.39,-63.312,1.389,MA72B65Rec
,Mixed / non conventional,72.00,65.00,39.00,32.00,96112.01,0.20,0.00,-71.96,-60.655,1.389,MA72B65Rec
,Mixed / non conventional,72.00,65.00,32.00,23.00,251009.08,0.21,0.00,16.22,-105.496,1.389,MA72B65Rec
,Mixed / non conventional,72.00,65.00,51.00,52.00,-101452.17,0.19,0.00,-54.35,-49.777,0.990,MA72B65Rec
,Mixed / non conventional,72.00,65.00,52.00,44.00,31187.52,0.20,0.00,-52.09,-73.810,0.990,MA72B65Rec
,Mixed / non conventional,72.00,65.00,44.00,35.00,52743.20,0.21,0.00,239.06,-46.531,0.990,MA72B65Rec
,Mixed / non conventional,72.00,65.00,35.00,27.00,264867.69,0.20,0.00,-86.21,-92.357,0.990,MA72B65Rec
,Mixed / non conventional,72.00,65.00,27.00,18.00,251867.06,0.20,0.00,-255.06,-53.006,0.990,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,11.00,1504165.88,0.21,0.00,160.72,-150.041,0.990,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,4.00,5704219.50,0.15,0.00,-38.56,-393.279,0.990,MA72B65Rec
,Mixed / non conventional,72.00,65.00,70.00,69.00,1445.76,0.14,0.00,-133.94,46.194,0.927,MA72B65Rec
,Mixed / non conventional,72.00,65.00,59.00,60.00,-20397.86,0.03,0.00,-315.42,-397.967,4.553,MA72B65Rec
,Mixed / non conventional,72.00,65.00,60.00,52.00,4831.50,0.03,0.00,1.34,-314.213,4.553,MA72B65Rec
,Mixed / non conventional,72.00,65.00,52.00,43.00,15198.39,0.03,0.00,126.05,-175.684,4.553,MA72B65Rec
,Mixed / non conventional,72.00,65.00,43.00,35.00,114795.94,0.03,0.00,67.44,-388.116,4.553,MA72B65Rec
,Mixed / non conventional,72.00,65.00,35.00,26.00,164049.72,0.04,0.00,-264.86,-285.840,4.553,MA72B65Rec
,Mixed / non conventional,72.00,65.00,26.00,19.00,798521.19,0.03,0.00,22.90,-596.420,4.553,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,12.00,2018106.00,0.03,0.00,133.77,-979.769,4.553,MA72B65Rec
,Mixed / non conventional,72.00,65.00,12.00,3.00,122731.70,0.11,0.00,-87.42,-50.249,4.553,MA72B65Rec
,Mixed / non conventional,72.00,65.00,61.00,62.00,-3541.96,0.34,0.00,62.10,-97.172,2.322,MA72B65Rec
,Mixed / non conventional,72.00,65.00,62.00,63.00,-965.40,0.35,0.00,126.86,-55.493,2.322,MA72B65Rec
,Mixed / non conventional,72.00,65.00,63.00,54.00,361.34,0.35,0.00,-354.52,-47.205,2.322,MA72B65Rec
,Mixed / non conventional,72.00,65.00,54.00,46.00,16075.80,0.35,0.00,-41.65,-125.840,2.322,MA72B65Rec
,Mixed / non conventional,72.00,65.00,46.00,38.00,56399.13,0.36,0.00,124.39,-136.400,2.322,MA72B65Rec
,Mixed / non conventional,72.00,65.00,38.00,30.00,167474.58,0.36,0.00,-12.66,-177.204,2.322,MA72B65Rec
,Mixed / non conventional,72.00,65.00,30.00,21.00,399237.31,0.35,0.00,-63.67,-242.313,2.322,MA72B65Rec
,Mixed / non conventional,72.00,65.00,21.00,13.00,969089.25,0.35,0.00,92.87,-300.025,2.322,MA72B65Rec
,Mixed / non conventional,72.00,65.00,13.00,5.00,2759302.25,0.33,0.00,-82.45,-550.933,2.322,MA72B65Rec
