,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,30.00,22.00,356997.00,0.08,0.00,3.11,-264.060,3.086
,Mixed / non conventional,72.00,65.00,40.00,48.00,33695.46,0.04,0.00,-181.28,319.998,7.098
,Mixed / non conventional,72.00,65.00,48.00,47.00,-28085.62,0.05,0.00,144.45,50.804,7.098
,Mixed / non conventional,72.00,65.00,47.00,39.00,44093.30,0.13,0.00,-19.26,-46.015,0.886
,Mixed / non conventional,72.00,65.00,39.00,31.00,123364.33,0.11,0.00,7.29,-54.597,0.886
,Mixed / non conventional,72.00,65.00,31.00,22.00,368911.44,0.82,0.00,-39.77,-48.612,0.469
,Mixed / non conventional,72.00,65.00,22.00,14.00,634126.63,0.79,0.00,-128.19,-42.087,0.469
,Mixed / non conventional,72.00,65.00,14.00,6.00,1362486.25,0.92,0.00,76.79,-39.040,0.316
,Mixed / non conventional,72.00,65.00,39.00,40.00,-11342.43,0.09,0.00,57.01,-7.652,7.167
,Mixed / non conventional,72.00,65.00,40.00,31.00,100647.76,0.04,0.00,-50.88,-428.021,7.167
,Mixed / non conventional,72.00,65.00,38.00,39.00,8660.56,0.12,0.00,110.48,5.284,7.189
,Mixed / non conventional,72.00,65.00,56.00,64.00,278.88,0.07,0.00,120.99,125.998,3.435
,Mixed / non conventional,72.00,65.00,64.00,63.00,-187.26,0.08,0.00,33.14,49.768,3.435
,Mixed / non conventional,72.00,65.00,63.00,55.00,808.57,0.02,0.00,-117.24,-67.684,1.513
,Mixed / non conventional,72.00,65.00,55.00,46.00,7292.47,0.04,0.00,-228.31,-47.412,1.513
,Mixed / non conventional,72.00,65.00,46.00,47.00,-41434.91,0.00,0.00,218.85,-50.532,5.531
,Mixed / non conventional,72.00,65.00,47.00,56.00,6345.50,0.03,0.00,-29.82,184.629,5.531
,Mixed / non conventional,72.00,65.00,56.00,48.00,8223.33,0.24,0.00,-115.77,-46.886,1.139
,Mixed / non conventional,72.00,65.00,48.00,39.00,31281.96,0.26,0.00,125.41,-51.024,1.139
,Mixed / non conventional,72.00,65.00,39.00,32.00,101671.73,0.03,0.00,3.69,-45.732,0.990
,Mixed / non conventional,72.00,65.00,32.00,23.00,257770.08,0.04,0.00,-20.65,-77.216,0.990
,Mixed / non conventional,72.00,65.00,51.00,52.00,-137273.94,0.33,0.00,-94.32,-43.964,0.646
,Mixed / non conventional,72.00,65.00,52.00,44.00,38068.77,0.34,0.00,-26.19,-58.809,0.646
,Mixed / non conventional,72.00,65.00,44.00,35.00,54905.36,0.15,0.00,199.33,-45.131,0.923
,Mixed / non conventional,72.00,65.00,35.00,27.00,282824.81,0.14,0.00,-84.15,-91.884,0.923
,Mixed / non conventional,72.00,65.00,27.00,18.00,238131.80,0.11,0.00,-300.71,-45.055,0.890
,Mixed / non conventional,72.00,65.00,18.00,11.00,1566130.38,0.12,0.00,183.08,-140.447,0.890
,Mixed / non conventional,72.00,65.00,11.00,4.00,7151087.00,1.07,0.00,-75.25,-64.934,0.130
,Mixed / non conventional,72.00,65.00,70.00,69.00,2109.22,0.54,0.00,-191.54,42.429,0.583
,Mixed / non conventional,72.00,65.00,59.00,60.00,-28327.97,0.27,0.00,-246.27,-57.765,0.476
,Mixed / non conventional,72.00,65.00,60.00,52.00,6098.85,0.27,0.00,102.16,-41.455,0.476
,Mixed / non conventional,72.00,65.00,52.00,43.00,17368.41,0.20,0.00,246.73,-45.070,1.022
,Mixed / non conventional,72.00,65.00,43.00,35.00,128466.91,0.21,0.00,-75.86,-97.504,1.022
,Mixed / non conventional,72.00,65.00,35.00,26.00,170945.80,0.39,0.00,-153.29,-43.497,0.665
,Mixed / non conventional,72.00,65.00,26.00,19.00,809849.88,0.39,0.00,-131.35,-88.333,0.665
,Mixed / non conventional,72.00,65.00,19.00,12.00,1967060.88,0.18,0.00,95.92,-383.253,1.827
,Mixed / non conventional,72.00,65.00,12.00,3.00,285712.63,0.28,0.00,-88.71,-46.945,1.827
,Mixed / non conventional,72.00,65.00,61.00,62.00,-4917.49,0.22,0.00,287.54,-76.601,1.318
,Mixed / non conventional,72.00,65.00,62.00,63.00,-1418.77,0.23,0.00,-85.55,-46.306,1.318
,Mixed / non conventional,72.00,65.00,63.00,54.00,267.79,0.19,0.00,-303.99,-49.216,3.266
,Mixed / non conventional,72.00,65.00,54.00,46.00,18017.30,0.17,0.00,-40.24,-198.413,3.266
,Mixed / non conventional,72.00,65.00,46.00,38.00,60124.53,0.16,0.00,86.94,-45.172,0.721
,Mixed / non conventional,72.00,65.00,38.00,30.00,170518.14,0.14,0.00,76.07,-56.050,0.721
,Mixed / non conventional,72.00,65.00,30.00,21.00,396003.31,0.21,0.00,-118.82,-41.535,0.401
,Mixed / non conventional,72.00,65.00,21.00,13.00,992367.00,0.21,0.00,172.72,-53.093,0.401
,Mixed / non conventional,72.00,65.00,13.00,5.00,4066968.50,1.51,0.00,-168.62,-45.490,0.130
,Mixed / non conventional,72.00,65.00,68.00,69.00,3520.11,0.18,0.00,-62.43,-40.740,0.436
,Mixed / non conventional,72.00,65.00,43.00,51.00,55266.75,0.08,0.00,-146.78,39.281,0.348
